participant_id,date,time,filename,intersection_number,intersection_distance,speed,lane_number
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.499938965,3.90968775749,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.447540283,4.00262880325,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.447540283,4.00262880325,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.447540283,4.00262880325,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.393463135,4.07745885849,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.393463135,4.07745885849,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.393463135,4.07745885849,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.338500977,4.16445636749,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.338500977,4.16445636749,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.338500977,4.16445636749,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.272857666,4.2716050148,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.272857666,4.2716050148,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.272857666,4.2716050148,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.215209961,4.37675619125,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.215209961,4.37675619125,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.215209961,4.37675619125,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.156005859,4.50147342682,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.156005859,4.50147342682,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.156005859,4.50147342682,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.094940186,4.64957618713,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.094940186,4.64957618713,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.094940186,4.64957618713,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.021026611,4.85002470016,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.021026611,4.85002470016,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,287.021026611,4.85002470016,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,286.955078125,5.04476213455,7
4212,29/07/2025,11:10:06,MBInt-29_07_2025-11h10m06s_4212.csv,1,286.955078125,5.04476213455,7
